Tick;Step;Energy;Rule;Sheep_gain_from_food;Sheep_reproduce;0_Position;1_Position;ID
1;1;0;R2 - No food found;4;4;78,0;50,0;a9bd759f-4ee1-4f47-8ebb-9f4524c5f656
1;1;1;R2 - No food found;4;4;66,0;42,0;c08fd7d5-c6ef-4b8c-8188-1dc614b26158
1;1;0;R2 - No food found;4;4;66,0;21,0;d3a934a3-fb1c-4fd7-946a-51cadc661a1c
1;1;0;R2 - No food found;4;4;84,0;12,0;f889009d-e395-4977-aa34-fdbec9dd7952
1;1;-1;R2 - No food found;4;4;98,0;21,0;79c4e542-1bc1-41d7-ad6d-8196c8c7adf5
1;1;4;R2 - No food found;4;4;4,0;2,0;14cef8c0-aadd-44fb-9b38-0954f9e57b47
1;1;3;R2 - No food found;4;4;2,0;24,0;629ceb42-d818-4899-af35-bc8cdddf9b94
1;1;0;R2 - No food found;4;4;13,0;32,0;d08699ce-fcd8-43d3-b3d6-fc87f8a8d296
1;1;5;R2 - No food found;4;4;55,0;41,0;39677188-13c2-4c1e-8426-356dcc781ab7
1;1;0;R2 - No food found;4;4;9,0;4,0;d4108a98-114c-4bb0-95b7-fabb42102b6e
1;1;2;R2 - No food found;4;4;22,0;43,0;5329fa39-b43b-4f7c-b246-61369d6be57e
2;2;4;R1 - Eat grass;4;4;58,0;83,0;6fd9de57-b52f-42f0-8beb-57d3ece1ee6a
2;2;6;R1 - Eat grass;4;4;98,0;47,0;301a1a67-13e3-4f91-a296-b8315700eff5
2;2;7;R1 - Eat grass;4;4;92,0;52,0;47283157-f1a5-44dd-bf86-ce36b79b4335
2;2;5;R1 - Eat grass;4;4;43,0;35,0;fe79838e-f53c-48e5-9989-37bb8780670d
2;2;6;R1 - Eat grass;4;4;34,0;61,0;91ab30fa-9553-41c8-831b-05107329596b
2;2;5;R1 - Eat grass;4;4;5,0;69,0;77b63f41-a5c6-450c-9dba-a9e7d4ce8f10
2;2;6;R1 - Eat grass;4;4;45,0;67,0;1d3155a7-07f4-4a52-ac72-df7f71a6f3eb
2;2;9;R1 - Eat grass;4;4;92,0;60,0;e14b26b4-3a4b-4149-9aac-9e8069fb6fb7
