Tick,Step,DateTime,GrassRegrowthPerStep,ID
229,229,2022-02-23T14:52:49.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
230,230,2022-02-23T14:52:50.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
231,231,2022-02-23T14:52:51.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
232,232,2022-02-23T14:52:52.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
233,233,2022-02-23T14:52:53.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
234,234,2022-02-23T14:52:54.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
235,235,2022-02-23T14:52:55.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
236,236,2022-02-23T14:52:56.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
237,237,2022-02-23T14:52:57.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
238,238,2022-02-23T14:52:58.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
239,239,2022-02-23T14:52:59.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
240,240,2022-02-23T14:53:00.0000000,1,521465f3-b0dc-4ba7-893c-14724686b8cd
